Compound Id,Final Compound Concentration, LmPTR1 [µM],Avg % Inhibition (slope), LmPTR1,STD % Inhibition (slope), LmPTR1,Flag for Interference, LmPTR1,Final Compound Concentration, TbPTR1 [µM],Avg % Inhibition (slope), TbPTR1,STD % Inhibition (slope), TbPTR1,Flag for Interference, TbPTR1,Final Compound Concentration, hERG [µM],Avg % Inhibition, hERG,STD % Inhibition , hERG,Flag for Interference, hERG,Final Compound Concentration, CYP1A2 [µM],Avg % Inhibition, CYP1A2,STD % Inhibition, CYP1A2,Final Compound Concentration, CYP2C9 [µM],Avg % Inhibition, CYP2C9,STD % Inhibition, CYP2C9,Final Compound Concentration, CYP2C19 [µM],Avg % Inhibition, CYP2C19,STD % Inhibition, CYP2C19,Final Compound Concentration, CYP2D6 [µM],Avg % Inhibition, CYP2D6,STD % Inhibition, CYP2D6,Final Compound Concentration, CYP3A4 [µM],Avg % Inhibition, CYP3A4,STD % Inhibition, CYP3A4,Final Compound Concentration, A549 [µM],Avg % Cell Growth, A549*,STD % Cell Growth, A549,Final Compound Concentration, W1-38 [µM],Avg % Cell Growth, W1-38*,STD % Cell Growth, W1-38,Final Compound Concentration, Mitochondria [µM],Avg % Toxicity Mitochondria**,STD % Toxicity, Mitochondria,,
NMT-F0086,50,3.11,0.98,No,50,1.72,0.63,No,10,-4.12,11.72,No,10,8.94,0.83,10,4.62,1.67,10,-8.97,4.24,10,9.49,1.19,10,-3.80,1.24,10,110.97,4.67,10,90.15,31.18,10,6.45,9.92,,
NMT-F0087,50,1.75,1.48,No,50,-0.53,0.71,No,10,-5.98,5.18,No,10,38.31,0.88,10,4.24,5.04,10,-20.73,5.80,10,8.57,1.27,10,-8.16,7.82,10,91.89,22.17,10,85.42,14.56,10,2.15,6.26,,
NMT-F0088,50,-0.98,0.99,No,50,21.77,2.20,No,10,15.20,3.61,No,10,28.19,1.17,10,13.87,3.46,10,-13.32,10.31,10,90.31,0.92,10,10.11,10.74,10,115.21,8.94,10,55.39,2.44,10,-1.56,9.31,,
NMT-F0089,50,3.84,0.84,No,50,37.71,0.46,No,10,69.69,2.26,No,10,24.64,2.48,10,19.45,1.29,10,11.93,6.61,10,72.44,3.78,10,7.77,9.80,10,113.39,4.83,10,80.95,23.57,10,9.58,12.52,,
NMT-F0090,50,1.09,1.30,No,50,-1.94,0.46,No,10,21.35,27.95,No,10,22.28,4.10,10,20.23,2.48,10,0.21,10.35,10,23.62,2.37,10,11.44,3.59,10,115.78,3.80,10,71.23,3.56,10,-1.89,14.92,,
NMT-F0091,50,2.11,0.47,No,50,2.80,0.10,No,10,-4.63,16.78,No,10,17.78,4.18,10,13.41,4.93,10,-3.67,4.63,10,24.17,2.84,10,2.49,5.93,10,103.98,5.42,10,128.31,2.99,10,-2.78,6.04,,
NMT-F0092,50,3.33,1.23,No,50,36.73,1.95,No,10,91.45,6.20,No,10,33.72,1.95,10,30.39,2.94,10,29.19,6.65,10,103.00,0.16,10,25.05,4.26,10,112.10,5.35,10,66.14,3.11,10,-7.62,3.47,,
NMT-F0093,50,3.34,0.81,No,50,30.03,1.85,No,10,81.08,11.56,No,10,22.05,2.75,10,18.65,4.50,10,17.29,4.58,10,100.21,0.36,10,24.19,4.69,10,105.83,3.67,10,111.00,43.73,10,5.65,18.05,,
NMT-F0094,50,3.38,1.63,No,50,48.52,2.15,No,10,75.55,4.42,No,10,29.12,3.41,10,17.57,0.96,10,36.84,0.96,10,99.04,0.60,10,27.41,6.77,10,106.22,2.74,10,68.47,18.77,10,3.62,8.55,,
NMT-F0095,50,-0.08,0.90,No,50,14.68,1.70,No,10,96.86,6.07,No,10,24.99,2.64,10,22.86,1.28,10,-13.98,11.08,10,103.15,0.63,10,11.18,3.11,10,110.11,8.04,10,97.12,30.17,10,-8.32,12.60,,
